NAME,ICAO,IATA,SYNOP,LAT,LONG,ELEV,COUNTRY
   HOFU (JASDF)    ,RJOF,   ,47788,34.01N,131.33E,5,JP
   MIHO (CIV/JASDF),RJOH,   ,47743,35.28N,133.15E,9,JP
   IWAKUNI MCAS    ,RJOI,   ,47764,34.08N,132.13E,2,JP
   KOCHI AIRPORT   ,RJOK,   ,47883,33.31N,133.40E,10,JP
   MATSUYAMA AIRPOR,RJOM,   ,47882,33.49N,132.41E,7,JP
   OSAKA INTL/ITAMI,RJOO,   ,47771,34.46N,135.26E,15,JP
   KOMATSUJIMA (JAS,RJOP,   ,47884,34.00N,134.37E,6,JP
   TOTTORI AIRPORT ,RJOR,   ,47794,35.31N,134.10E,18,JP
   TOKUSHIMA(JMSDF/,RJOS,   ,47881,34.07N,134.37E,11,JP
   TAKAMATSU AIRPOR,RJOT,   ,47880,34.13N,134.01E,188,JP
   IWAMI           ,RJOW,   ,47783,34.40N,131.48E,54,JP
   YAO (CIV/JGSDF) ,RJOY,   ,47779,34.36N,135.35E,13,JP
   OZUKI (JMSDF)   ,RJOZ,   ,47787,34.02N,131.03E,7,JP
   AOMORI AIRPORT  ,RJSA,   ,47542,40.43N,140.41E,201,JP
   YAMAGATA(CIV/JGS,RJSC,   ,47553,38.25N,140.22E,108,JP
   SADO AIRPORT    ,RJSD,   ,47700,38.02N,138.25E,26,JP
   FUKUSHIMA ARPT  ,RJSF,   ,47557,37.13N,140.25E,375,JP
   HACHINOHE (JMSDF,RJSH,   ,47515,40.32N,141.28E,49,JP
   HANAMAKI AIRPORT,RJSI,   ,47549,39.25N,141.07E,93,JP
   AKITA AIRPORT   ,RJSK,   ,47545,39.37N,140.13E,96,JP
   MISAWA(JASDF/AF/,RJSM,   ,47580,40.42N,141.22E,36,JP
   NIIGATA (CIV/JAS,RJSN,   ,47573,37.57N,139.07E,4,JP
   OMINATO (JASDF) ,RJSO,   ,47516,41.13N,141.07E,10,JP
   ODATE-NOSHIRO   ,RJSR,   ,     ,40.11N,140.22E,87,JP
   SENDAI AIRPORT  ,RJSS,   ,47569,38.07N,140.55E,5,JP
   MATSUSHIMA (JASD,RJST,   ,47591,38.23N,141.13E,5,JP
   KASUMINOME (JASD,RJSU,   ,47567,38.13N,140.55E,10,JP
   SHONAI          ,RJSY,   ,     ,38.49N,139.46E,22,JP
   ATSUGI NAS (JMSD,RJTA,   ,47679,35.27N,139.26E,65,JP
   TACHIKAWA (JASDF,RJTC,   ,47660,35.42N,139.24E,98,JP
   TOKYO JMA      ,RJTD,   ,47662,35.41N,139.46E,36,JP
   TATEYAMA (JMSDF),RJTE,   ,47688,34.58N,139.49E,6,JP
   CHOFU AIRPORT   ,RJTF,   ,47683,35.40N,139.31E,44,JP
   HACHIJOJIMA ISLA,RJTH,   ,47738,33.07N,139.46E,95,JP
   TOKYO HELIPORT  ,RJTI,   ,47687,35.38N,139.50E,8,JP
   IRUMA (JASDF)   ,RJTJ,   ,47643,35.49N,139.25E,93,JP
   KISARAZU (JGSDF),RJTK,   ,47661,35.23N,139.55E,6,JP
   SHIMOFUSA (JMSDF,RJTL,   ,47727,35.47N,140.01E,33,JP
   OSHIMA AIRPORT  ,RJTO,   ,47735,34.46N,139.22E,41,JP
   MIYAKEJIMA AIRPO,RJTQ,   ,47737,34.04N,139.34E,23,JP
   KASTNER AAF/ZAMA,RJTR,   ,47680,35.31N,139.24E,109,JP
   TOKYO INTL AIRPO,RJTT,   ,47671,35.32N,139.46E,8,JP
   UTSUNOMIYA (JGSD,RJTU,   ,47692,36.31N,139.52E,105,JP
   YOKOSUKA FWF    ,RJTX,   ,47696,35.18N,139.41E,5,JP
   YOKOTA (JASDF/US,RJTY,   ,47642,35.45N,139.20E,139,JP
   NAHA (CIV/JASDF),ROAH,   ,47930,26.10N,127.39E,8,JP
   IEJIMA AUX (USAF,RODE,   ,47938,26.43N,127.46E,73,JP
   KADENA (USAFB-NA,RODN,   ,47931,26.21N,127.46E,45,JP
   HAMBY AAF/BUCKNE,ROHF,   ,47935,26.18N,127.46E,6,JP
   ISHIGAKIJIMA ISL,ROIG,   ,47918,24.19N,124.10E,7,JP
   KUMEJIMA ISLAND ,ROKJ,   ,47929,26.19N,126.47E,5,JP
   MINAMIDAITOJIMA ,ROMD,   ,47945,25.49N,131.13E,15,JP
   MIYAKOJIMA ISLAN,ROMY,   ,47927,24.46N,125.16E,41,JP
   AGUNI ISLAND    ,RORA,   ,     ,26.36N,127.13E,29,JP
   HATERUMA        ,RORH,   ,     ,24.04N,123.47E,13,JP
   KITADAITO ISLAND,RORK,   ,     ,25.55N,131.19E,22,JP
   SHIMOJI-SHIMA IS,RORS,   ,     ,24.49N,125.09E,16,JP
   TARAMA ISLAND   ,RORT,   ,     ,24.38N,124.42E,9,JP
   YORON ISLAND    ,RORY,   ,     ,27.03N,128.24E,16,JP
   FUTENMA(US-MCAS),ROTM,   ,47933,26.16N,127.45E,75,JP
   YONAGUNI AIRPORT,ROYN,   ,47911,24.28N,122.58E,17,JP
   TAKAO RADAR     ,TAKA,   ,     ,35.34N,133.13E,15,JP
   MUAN INTL       ,RKJB,   ,     ,34.59N,126.23E,2,KR
   GWANGJU (KOR-AFB,RKJJ,   ,47158,35.07N,126.49E,13,KR
   KUNSAN (US/KOR-A,RKJK,   ,47141,35.54N,126.37E,9,KR
   MOKPO (KOR-NAVY),RKJM,   ,     ,34.46N,126.22E,3,KR
   JHUNJU (KOR-ARMY,RKJU,   ,     ,35.52N,127.07E,29,KR
   YOSU AIRPORT    ,RKJY,   ,47167,34.49N,127.37E,18,KR
   CAMP PAGE/CHUNCH,RKNC,   ,47104,37.52N,127.43E,75,KR
   SOKCHO AIRPORT  ,RKND,   ,47091,38.07N,128.35E,14,KR
   WHANG RYEONG    ,RKNF,   ,     ,37.45N,128.40E,1407,KR
   HOENGSONG (KOR-A,RKNH,   ,47118,37.25N,127.57E,101,KR
   KANGNUNG (KOR-AF,RKNN,   ,47107,37.45N,128.56E,11,KR
   KEO JIN         ,RKNO,   ,     ,38.28N,128.28E,107,KR
   KOTAR RANGE     ,RKNR,   ,     ,37.06N,128.54E,792,KR
   WONJU           ,RKNW,   ,47114,37.19N,127.57E,150,KR
   YANGYANG INTL   ,RKNY,   ,     ,38.04N,128.40E,74,KR
   JEJU INTL AIRPO ,RKPC,   ,47182,33.30N,126.29E,27,KR
   JINHAE (KOR-ARM ,RKPE,   ,     ,35.08N,128.41E,2,KR
   BUSAN/KIMHAE INT,RKPK,   ,47153,35.10N,128.55E,15,KR
   MOSULPO (KOR-AFB,RKPM,   ,47187,33.12N,126.16E,27,KR
   SACHON (KOR-AFB),RKPS,   ,47161,35.04N,128.04E,8,KR
   ULSAN           ,RKPU,   ,47152,35.32N,129.19E,33,KR
   DONGHAE RADAR   ,RKSB,   ,47106,37.30N,129.08E,37,KR
   SV RI SAN       ,RKSC,   ,     ,37.21N,126.55E,406,KR
   MAESANRI        ,RKSD,   ,     ,37.21N,127.16E,144,KR
   PAENGNYONGDO BEA,RKSE,   ,     ,37.57N,124.43E,2,KR
   SEOUL (KOR-AF HQ,RKSF,   ,47117,37.30N,126.55E,49,KR
   PYONGTAEK (A-511,RKSG,   ,47127,36.58N,127.01E,16,KR
   COMMAND POST TAN,RKSH,   ,     ,37.31N,126.58E,73,KR
   CHAJANG NI      ,RKSI,   ,     ,37.28N,126.27E,7,KR
   TAESONG-SAN     ,RKSJ,   ,     ,38.12N,127.32E,1182,KR
   SEOUL CITY      ,RKSL,   ,47108,37.34N,126.58E,87,KR
   SEOUL EAST(KOR-A,RKSM,   ,47111,37.25N,127.07E,20,KR
   KOON-NI RANGE   ,RKSN,   ,69010,37.01N,126.45E,15,KR
   OSAN (US/KOR-AFB,RKSO,   ,47122,37.04N,127.01E,12,KR
   PAENGNYONGDO (KA,RKSP,   ,47103,37.58N,124.40E,171,KR
   YEONPYEUNGDO    ,RKSQ,   ,     ,37.42N,125.42E,91,KR
   SEOUL/KIMPO INTL,RKSS,   ,47110,37.32N,126.47E,19,KR
   CAMP CASEY/TONGD,RKST,   ,     ,37.55N,127.03E,60,KR
   YEOJU RANGE     ,RKSU,   ,     ,37.25N,127.37E,43,KR
   PYORIPSAN       ,RKSV,   ,     ,37.46N,126.22E,250,KR
   SUWON (US/KOR-AF,RKSW,   ,47120,37.15N,127.00E,24,KR
   CAMP STANLEY/H-2,RKSX,   ,     ,37.43N,127.05E,71,KR
   YONGSAN/H-208 HP,RKSY,   ,     ,37.31N,126.58E,12,KR
   ANDONG          ,RKTA,   ,47136,36.32N,128.43E,142,KR
   PAEKADO         ,RKTB,   ,     ,37.01N,126.02E,46,KR
   TAEJON (KOR-AFB),RKTD,   ,47132,36.32N,126.20E,63,KR
   SONGMU (KOR-AFB),RKTE,   ,47124,36.23N,127.30E,79,KR
   TAEJON          ,RKTF,   ,47133,36.17N,127.24E,78,KR
   CAMP WALKER (H-8,RKTG,   ,     ,35.51N,128.36E,75,KR
   POHANG (KOR-NAVY,RKTH,   ,47139,35.58N,129.25E,20,KR
   JUNG WON (ROK-AB,RKTI,   ,47125,37.01N,127.52E,91,KR
   ULJIN           ,RKTL,   ,     ,36.59N,129.24E,49,KR
   MANGILSAN (KOR-A,RKTM,   ,47126,36.56N,126.27E,302,KR
   TAEGU (US/KOR-AF,RKTN,   ,47142,35.53N,128.39E,35,KR
   SANGJU          ,RKTS,   ,     ,36.25N,128.10E,150,KR
   TAEGU ACC (KOR-A,RKTT,   ,47143,35.52N,128.37E,61,KR
   JONGJU (KAFB-AR ,RKTU,   ,47128,36.42N,127.30E,66,KR
   JUNGJU          ,RKTV,   ,     ,37.04N,127.52E,59,KR
   WOONG CHEON     ,RKTW,   ,     ,36.12N,126.32E,13,KR
   YECHON (KOR-AFB),RKTY,   ,47134,36.37N,128.20E,108,KR
   HAEMI           ,RKTZ,   ,     ,36.23N,126.20E,31,KR
   NIGHTMARE RANGE ,RKXX,   ,     ,38.04N,127.20E,0,KR
   YANGGU (G-404)  ,RK13,   ,     ,38.05N,127.59E,200,KR
   OLONGAPO/SUBIC  ,RPLB,   ,98426,14.48N,120.16E,17,PH
   ANGELES/PAMPANGA,RPLC,   ,98327,15.10N,120.35E,196,PH
   LAOAG INTL(PH-AR,RPLI,   ,98223,18.10N,120.31E,5,PH
   NINOY AQUINO INT,RPLL,   ,98429,14.31N,121.00E,21,PH
   DAVAO/FRANCISCO ,RPMD,   ,98753,07.07N,125.39E,18,PH
   CLARK AFB/LUZON ,RPMK,   ,     ,15.10N,120.32E,196,PH
   CAGAYAN DE ORO  ,RPML,CGY,     ,08.26N,124.37E,186,PH
   LEGAZPI/LUZON IS,RPMP,   ,98444,13.09N,123.44E,17,PH
   ROMBLON/TABLAS I,RPMR,   ,98536,12.34N,122.16E,47,PH
   SANGLEY POINT AB,RPMS,   ,98428,14.30N,120.55E,4,PH
   ZAMBOANGA (CIV/A,RPMZ,   ,98836,06.55N,122.04E,6,PH
   APARRI/LUZON ISL,RPUA,   ,98232,18.22N,121.37E,3,PH
   BAGUIO/LUZON ISL,RPUB,   ,98328,16.23N,120.37E,1296,PH
   DAET/LUZON ISLAN,RPUD,   ,98440,14.07N,122.58E,4,PH
   SAN JOSE/MINDORO,RPUH,   ,98531,12.20N,121.01E,3,PH
   IBA/LUZON ISLAND,RPUI,   ,98324,15.19N,119.58E,5,PH
   CALAPAN/MINDORO ,RPUK,   ,98431,13.25N,121.10E,41,PH
   MAMBURAO/MINDORO,RPUM,   ,     ,13.13N,120.35E,4,PH
   NAGA/LUZON ISLAN,RPUN,   ,     ,13.34N,123.16E,43,PH
   BASCO/BATAN ISLA,RPUO,   ,98135,20.26N,121.58E,11,PH
   VIGAN/LUZON ISLA,RPUQ,   ,98222,17.54N,120.28E,33,PH
   BALER/LUZON ISLA,RPUR,   ,98333,15.46N,121.34E,6,PH
   TUGUEGARAO/LUZON,RPUT,   ,98233,17.37N,121.43E,62,PH
   VIRAC/CATANDUANE,RPUV,   ,98446,13.34N,124.13E,40,PH
   MARINDUQUE ISLAN,RPUW,   ,     ,13.22N,121.49E,5,PH
   TACLOBAN/LEYTE I,RPVA,   ,98550,11.15N,125.00E,3,PH
   BACOLOD/NEGROS I,RPVB,   ,     ,10.39N,122.55E,9,PH
   CALBAYOG/SAMAR I,RPVC,   ,     ,12.04N,124.32E,3,PH
   DUMAGUETE/NEGROS,RPVD,   ,98642,09.20N,123.18E,8,PH
   CATARMAN/SAMAR I,RPVF,   ,98546,12.28N,124.37E,5,PH
   GUIUAN/SAMAR ISL,RPVG,   ,98558,11.01N,125.43E,60,PH
   ILOILO/PANAY ISL,RPVI,   ,98637,10.41N,122.34E,8,PH
   MASBATE         ,RPVJ,   ,98543,12.22N,123.38E,6,PH
   KALIBO/PANAY ISL,RPVK,   ,     ,11.40N,122.22E,6,PH
   MACTAN-CEBU     ,RPVM,   ,98646,10.19N,123.59E,10,PH
   PUERTO PRINCESA ,RPVP,   ,98618,09.45N,118.43E,16,PH
   ROXAS/PANAY ISLA,RPVR,   ,98538,11.34N,122.45E,4,PH
   TAGBILARAN/BOHOL,RPVT,   ,98644,09.35N,123.50E,8,PH
   GENERAL SANTOS  ,RPWB,   ,98851,06.07N,125.10E,15,PH
   COTABATO/MINDANA,RPWC,   ,98746,07.10N,124.13E,58,PH
   BUTUAN/MINDANAO ,RPWE,   ,98752,08.57N,125.29E,46,PH
   DIPOLOG/MINDANAO,RPWG,   ,98741,08.35N,123.20E,5,PH
   OZAMIS/MINDANAO ,RPWI,   ,     ,08.10N,123.50E,5,PH
   JOLO ISLAND     ,RPWJ,   ,98830,06.02N,121.00E,13,PH
   CAGAYAN DE ORO  ,RPWL,   ,98748,08.28N,124.37E,6,PH
   MALABANG/MINDANA,RPWM,   ,     ,07.37N,124.04E,8,PH
   PAGADIAN/MINDANA,RPWP,   ,     ,07.49N,123.28E,2,PH
   SURIGAO/MINDANAO,RPWS,   ,98653,09.48N,125.30E,55,PH
   TANDAG/MINDANAO ,RPWW,   ,     ,09.04N,126.10E,5,PH
   ILIGAN/MINDANAO ,RPWX,   ,     ,08.09N,124.13E,396,PH
   MALAYBALAY/MINDA,RPWY,   ,98751,08.09N,125.04E,627,PH
   BISLIG/MINDANAO ,RPWZ,   ,     ,08.13N,126.19E,3,PH
   CROW VALLEY GNRY,RPXC,   ,98322,15.19N,120.22E,161,PH
   ALABAT ISLAND   ,RPXT,   ,98435,14.14N,121.56E,5,PH
   MACTAN INTL(CIV/,RPMT,   ,     ,10.19N,123.59E,24,PH
   AHMADABAD       ,VAAH,   ,42647,23.04N,072.37E,55,IN
   AKOLA AIRPORT   ,VAAK,   ,42934,20.41N,077.04E,309,IN
   AURANGABAD AIRPO,VAAU,   ,43014,19.51N,075.24E,579,IN
   BOMBAY/SANTACRUZ,VABB,   ,43003,19.06N,072.52E,8,IN
   BILASPUR        ,VABI,   ,42080,31.15N,076.40E,587,IN
   BHUJ-RUDRAMATA(A,VABJ,   ,42634,23.17N,069.40E,80,IN
   BELGAUM/SAMBRA  ,VABM,   ,43198,15.50N,074.37E,747,IN
   VADODARA        ,VABO,   ,     ,22.20N,073.14E,39,IN
   BHOPAL/BAIRAGARH,VABP,   ,42667,23.16N,077.20E,523,IN
   BHAUNAGAR       ,VABV,   ,42838,21.45N,072.12E,11,IN
   GOA/DABOLIM (NAV,VAGO,   ,     ,15.22N,073.49E,52,IN
   GOA/DABOLIM (NAV,VOGO,   ,43194,15.22N,073.49E,52,IN
   INDORE          ,VAID,   ,42754,22.43N,075.47E,567,IN
   JABALPUR        ,VAJB,   ,42675,23.11N,079.57E,393,IN
   BOMBAY/JUHU     ,VAJJ,   ,43002,19.07N,072.49E,4,IN
   JAMNAGAR (IN-AFB,VAJM,   ,42734,22.26N,070.04E,20,IN
   KHAJURAHO       ,VAKJ,   ,     ,24.49N,079.55E,222,IN
   KHANDWA         ,VAKD,   ,42855,21.49N,076.22E,318,IN
   KANDLA AERODROME,VAKE,   ,42638,23.08N,070.07E,35,IN
   KOLHAPUR        ,VAKP,   ,43157,16.41N,074.13E,570,IN
   NAGPUR SONEGAON ,VANP,   ,42867,21.05N,079.03E,310,IN
   PUNE/POONA (IN-A,VAPO,   ,43064,18.34N,073.55E,593,IN
   PORBANDAR       ,VAPR,   ,42830,21.38N,069.40E,7,IN
   RAJKOT          ,VARK,   ,42737,22.18N,070.46E,138,IN
   RAIPUR          ,VARP,   ,42875,21.13N,081.39E,298,IN
   SHOLAPUR        ,VASL,   ,43117,17.40N,075.54E,479,IN
   MAHARANA PRATAP ,VAUD,   ,     ,24.37N,073.54E,513,IN
   AGARTALA        ,VEAT,   ,42724,23.52N,091.15E,16,IN
   BAGHDOGRA (IN-AF,VEBD,   ,42398,26.41N,088.20E,126,IN
   BHUBANESWAR     ,VEBS,   ,42971,20.15N,085.49E,46,IN
   VARANASI        ,VEBN,   ,     ,25.27N,082.51E,83,IN
   CALCUTTA/DUM DUM,VECC,   ,42809,22.39N,088.26E,6,IN
   CAR NICOBAR(IN-A,VECX,   ,43368,09.09N,092.49E,14,IN
   GORAKHPUR (IN-AF,VEGK,   ,42379,26.45N,083.22E,77,IN
   GAUHATI (IN-AFB),VEGT,   ,42410,26.06N,091.35E,54,IN
   GAYA            ,VEGY,   ,42591,24.45N,084.57E,116,IN
   IMPHAL/TULIHAL  ,VEIM,   ,42623,24.46N,093.54E,781,IN
   JHARSUGUDA      ,VEJH,   ,42886,21.55N,084.04E,230,IN
   JAMSHEDPUR(PRIVA,VEJS,   ,42798,22.49N,086.10E,142,IN
   NORTH LAKHIMPUR/,VELR,   ,42309,27.18N,094.06E,101,IN
   MALDA           ,VEMH,   ,42503,25.01N,088.07E,31,IN
   DIBRUGARH/MOHANB,VEMN,   ,42314,27.28N,095.01E,111,IN
   PORT BLAIR      ,VEPB,   ,43333,11.40N,092.43E,79,IN
   PATNA           ,VEPT,   ,42492,25.36N,085.05E,60,IN
   RANCHI          ,VERC,   ,42701,23.19N,085.19E,652,IN
   ROURKELA (PRIVAT,VERK,   ,42793,22.13N,084.52E,196,IN
   RAXAUL          ,VERL,   ,42382,26.58N,084.50E,79,IN
   AGRA (IN-AFB)   ,VIAG,   ,42260,27.08N,077.58E,169,IN
   ALIGARH         ,VIAH,   ,42262,27.52N,078.04E,187,IN
   ALLAHABAD (IN-AF,VIAL,   ,42475,25.26N,081.43E,98,IN
   AMRITSAR        ,VIAR,   ,42071,31.42N,074.48E,234,IN
   VARANASI/BABATPU,VIBN,   ,42479,25.26N,082.52E,85,IN
   BHATINDA        ,VIBT,   ,42097,30.10N,074.34E,211,IN
   BAREILLY (IN-AFB,VIBY,   ,42189,28.22N,079.24E,173,IN
   KANPUR/CHAKERI(A,VICX,   ,42367,26.23N,080.24E,126,IN
   DELHI/SAFDARJUNG,VIDD,   ,42182,28.35N,077.13E,216,IN
   INDIRA GANDHI/DE,VIDP,   ,42181,28.34N,077.07E,233,IN
   GWALIOR (IN-AFB),VIGR,   ,42361,26.13N,078.15E,207,IN
   HISSAR          ,VIHR,   ,42131,29.10N,075.43E,221,IN
   JHANSI          ,VIJN,   ,42463,25.26N,078.34E,251,IN
   JODHPUR (IN-AFB),VIJO,   ,42339,26.18N,073.01E,224,IN
   JAIPUR/SANGANER ,VIJP,   ,42348,26.49N,075.47E,390,IN
   KANPUR          ,VIKA,   ,42366,26.25N,080.22E,126,IN
   KOTA AERODROME  ,VIKO,   ,42452,25.08N,075.50E,274,IN
   LUCKNOW/AMAUSI  ,VILK,   ,42369,26.45N,080.52E,128,IN
   SRINAGAR (CIV/MI,VISR,   ,42042,33.58N,074.46E,1666,IN
   SATNA           ,VIST,   ,42571,24.34N,080.49E,317,IN
   UDAIPUR/DABOK   ,VIUD,   ,42542,24.37N,073.52E,514,IN
   BANGALORE ARP   ,VOBG,   ,43296,12.57N,077.38E,897,IN
   BELLARY         ,VOBI,   ,43205,15.09N,076.50E,449,IN
   BENGALURU       ,VOBL,   ,     ,13.12N,077.42E,915,IN
   BELGAUM         ,VOBM,   ,     ,15.52N,074.37E,758,IN
   VIJAYAWADA/GANNA,VOBZ,   ,43181,16.31N,080.47E,24,IN
   COIMBATORE/PEELA,VOCB,   ,43321,11.01N,077.02E,399,IN
   COCHIN (IN-NAVY),VOCC,   ,43353,09.56N,076.16E,3,IN
   COCHIN INTL     ,VOCI,   ,     ,10.09N,076.24E,8,IN
   CALICUT         ,VOCL,   ,     ,11.08N,075.57E,104,IN
   CUDDAPAH        ,VOCP,   ,43241,14.28N,078.49E,130,IN
   RAJIV GANDHI INL,VOHS,   ,     ,17.14N,078.26E,1,IN
   HYDERABAD (CIV/M,VOHY,   ,43128,17.27N,078.27E,545,IN
   MADURAI         ,VOMD,   ,43360,09.49N,078.04E,131,IN
   MANGALORE/BAJPE ,VOML,   ,43284,12.58N,074.53E,103,IN
   MADRAS/CHENNAI  ,VOMM,   ,43279,13.00N,080.10E,16,IN
   MYSORE          ,VOMY,   ,43291,12.18N,076.42E,767,IN
   TIRUPATI        ,VOTP,   ,     ,13.38N,079.33E,107,IN
   TIRUCHCHIRAPALLI,VOTR,   ,43344,10.46N,078.43E,88,IN
   THIRUVANANTHAPUR,VOTV,   ,43372,08.28N,076.57E,8,IN
   VELLORE         ,VOVR,   ,43303,12.55N,079.09E,214,IN
   VISAKHAPATNAM   ,VOVZ,   ,     ,17.43N,083.13E,5,IN
   BHAMO           ,VBBM,   ,48019,24.16N,097.12E,113,MM
   PATHEIN/BASSEIN ,VBBS,   ,48094,16.46N,094.46E,10,MM
   COCO ISLAND     ,VBCI,   ,48109,14.07N,093.22E,3,MM
   HOMALIN         ,VBHL,   ,48010,24.52N,094.55E,131,MM
   KENGTUNG        ,VBKG,   ,48060,21.18N,099.37E,828,MM
   KYAUKPYU/RAMREE ,VBKP,   ,48071,19.25N,093.32E,5,MM
   LASHIO          ,VBLS,   ,48035,22.55N,097.45E,749,MM
   MYITKYINA       ,VBMK,   ,48008,25.22N,097.24E,147,MM
   MEIKTILA        ,VBML,   ,48053,20.49N,095.49E,220,MM
   MOULMEIN        ,VBMM,   ,48103,16.30N,097.37E,22,MM
   MONGHSAT        ,VBMS,   ,48070,20.33N,099.16E,572,MM
   NYAUNG-U/PAGAN  ,VBNU,   ,48048,21.11N,094.55E,55,MM
   HPA-AN/PA-AN    ,VBPA,   ,48099,16.45N,097.40E,10,MM
   BAGO/PEGU       ,VBPG,   ,48093,17.19N,096.30E,15,MM
   PROME/PYE       ,VBPR,   ,48077,18.48N,095.13E,60,MM
   PUTAO           ,VBPT,   ,48001,27.19N,097.25E,409,MM
   AKYAB           ,VBRA,   ,     ,20.07N,092.52E,5,MM
   SITTWE/AKYAB    ,VYSW,   ,48062,20.07N,092.52E,5,MM
   MANDALAY        ,VBRM,   ,48042,21.58N,096.05E,76,MM
   MERGUI          ,VBRN,   ,48110,12.25N,098.35E,37,MM
   RANGOON/MINGALAD,VBRR,   ,48096,16.53N,096.10E,29,MM
   SANDOWAY/MAZIN  ,VBSY,   ,48080,18.28N,094.20E,11,MM
   DAWEI           ,VBTV,   ,48108,14.05N,098.13E,17,MM
   YE              ,VBYE,   ,48107,15.15N,097.52E,7,MM
   MANDALAY        ,VYMD,   ,     ,21.42N,095.59E,91,MM
   COLOMBO/KATUNAYA,VCBI,   ,43450,07.10N,079.52E,8,LK
   ANURADHAPURA (AF,VCCA,   ,43421,08.19N,080.25E,89,LK
   BATTICALOA (AFB),VCCB,   ,43436,07.43N,081.42E,12,LK
   COLOMBO/RATMALAN,VCCC,   ,43467,06.49N,079.52E,5,LK
   TRINCOMALEE (AFB,VCCT,   ,43418,08.34N,081.15E,7,LK
   MATTALA RAJAPAKS,VCRI,   ,43407,06.17N,081.08E,7,LK
   BATTAMBANG      ,VDGB,   ,48962,13.05N,103.12E,13,KH
   KOMPONG-CHAM    ,VDKC,   ,48995,12.00N,105.27E,16,KH
   KAMPONG CHHNANG ,VDKH,   ,48969,12.15N,104.40E,15,KH
   PHNOM-PENH/POCHE,VDPP,   ,48991,11.33N,104.50E,10,KH
   SIEMREAP        ,VDSR,   ,48966,13.25N,103.50E,15,KH
   STUNG TRENG     ,VDST,   ,48972,13.31N,105.58E,56,KH
   BOGRA           ,VGBG,   ,41883,24.51N,089.22E,20,BD
   COX'S BAZAR     ,VGCB,   ,41992,21.25N,091.58E,4,BD
   COMILLA         ,VGCM,   ,41933,23.25N,091.10E,10,BD
   CHITTAGONG (CV/M,VGEG,   ,41978,22.16N,091.49E,6,BD
   DHAKA           ,VGHS,   ,41922,23.51N,090.24E,10,BD
   ISHURDI         ,VGIS,   ,41907,24.07N,089.02E,14,BD
   JESSORE (CIV/MIL,VGJR,   ,41936,23.10N,089.10E,7,BD
   RAJSHAHI        ,VGRJ,   ,41895,24.22N,088.42E,20,BD
   THAKURGAON      ,VGSG,   ,41852,26.01N,088.24E,54,BD
   SYLHET OSMANI   ,VGSY,   ,41891,24.58N,091.52E,16,BD
   DHAKA/TEJGAON (M,VGTJ,   ,41923,23.46N,090.22E,9,BD
   KURMITOLA/ZIA IN,VGZR,   ,     ,23.51N,090.24E,10,BD
   CHEUNG CHAU     ,VHCH,   ,45001,22.11N,114.01E,79,HK
   HONG KONG INTL  ,VHHH,   ,45007,22.19N,113.55E,9,HK
   HONG KONG RO    ,HKRO,   ,45004,22.19N,114.10E,66,HK
   H KONG OLD VHHH ,    ,   ,     ,22.20N,114.11E,24,HK
   ATTOPEU         ,VLAP,   ,48957,14.48N,106.49E,105,LA
   BAN HOUAYXAY/BAN,VLHS,   ,     ,20.15N,100.25E,421,LA
   PAKSE (CIV/MIL) ,VLIP,   ,48955,15.07N,105.10E,102,LA
   MUANG KHONG     ,VLKG,   ,     ,14.07N,105.50E,76,LA
   LUANG-PRABANG   ,VLLB,   ,48930,19.54N,102.10E,291,LA
   LUANG NAMTHA    ,VLLN,   ,     ,20.58N,101.24E,600,LA
   PAKSE INTL      ,VLPS,   ,     ,15.08N,105.47E,107,LA
   SAYABOURY       ,VLSB,   ,48938,19.13N,101.43E,326,LA
   SAVANNAKHET(CV/M,VLSK,   ,48947,16.33N,104.45E,155,LA
   SAM-NEUA        ,VLSN,   ,48928,20.25N,104.04E,1000,LA
   SARAVANE        ,VLSV,   ,48952,15.40N,106.25E,168,LA
   THAKHEK         ,VLTK,   ,48946,17.22N,104.39E,52,LA
   VIENTIANE/WATTAY,VLVT,   ,48940,17.59N,102.34E,171,LA
   VANG VIENG(CIV/M,VLVV,   ,     ,18.55N,102.27E,296,LA
   MACAO/MACAU     ,VMMC,   ,45011,22.09N,113.35E,6,MO
   BHAIRAWA AIRPORT,VNBW,   ,44438,27.31N,083.27E,109,NP
   JUMLA           ,VNJL,   ,44424,29.16N,082.10E,2300,NP
   KATHMANDU INTL A,VNKT,   ,44454,27.41N,085.22E,1337,NP
   POKHARA AIRPORT ,VNPK,   ,44434,28.13N,084.00E,827,NP
   SIMRA AIRPORT   ,VNSI,   ,44449,27.10N,084.58E,137,NP
   SURKHET         ,VNSK,   ,44416,28.36N,081.37E,720,NP
   TAPLEJUNG       ,VNTJ,   ,44474,27.21N,087.40E,1732,NP
   BIRATNAGAR AIRPO,VNVT,   ,44478,26.28N,087.16E,72,NP
   PARO            ,VQPR,   ,     ,27.24N,089.26E,2235,BT
   GAN ISLAND      ,VRGN,   ,43599,00.40S,073.09E,2,MV
   GAN INTL AIRPORT,VRMG,   ,     ,00.42S,073.09E,3,MV
   MALE INTL/HULULE,VRMM,   ,43555,04.12N,073.31E,2,MV
   CHANTHABURI     ,VTBC,   ,48480,12.35N,102.07E,4,TH
   BANGKOK/DON MUAN,VTBD,DMK,48456,13.55N,100.36E,3,TH
